City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,cap malheureux,-19.9842,57.6142,297.85,74,82,2.24,MU,1676655332
362,amurzet,47.6967,131.0981,254.52,95,21,2.21,RU,1676655333
363,rancho palos verdes,33.7445,-118.387,288.58,28,75,1.34,US,1676655273
364,tres passos,-27.4556,-53.9319,297.33,46,100,3.46,BR,1676655334
365,port hedland,-20.3167,118.5667,303.18,84,28,3.09,AU,1676655335
366,aloleng,16.1307,119.7824,296.71,76,77,2.92,PH,1676655335
367,baiyin,36.5583,104.2081,270.76,87,88,4.38,CN,1676655227
368,khash,28.2211,61.2158,288.67,25,23,1.28,IR,1676655336
369,kawalu,-7.3817,108.2082,295.37,96,100,0.99,ID,1676655337
370,anadyr,64.75,177.4833,250.43,76,100,2.0,RU,1676655337
371,kieta,-6.2167,155.6333,299.2,83,100,1.57,PG,1676655338
372,gamba,-2.65,10.0,299.46,84,81,2.35,GA,1676655339
373,changqing,36.5575,116.7272,281.86,68,100,2.15,CN,1676655339
374,muhos,64.808,25.9931,274.2,88,100,3.0,FI,1676655340
375,porto santo,33.072,-16.3415,290.36,63,20,8.23,PT,1676655340
376,mattawa,46.7379,-119.9028,276.49,50,83,0.84,US,1676655341
377,chicama,-7.8447,-79.1469,296.45,51,69,4.92,PE,1676655341
378,newport,51.5877,-2.9984,285.99,95,100,4.43,GB,1676655240
379,tilichiki,60.4667,166.1,244.02,93,81,3.54,RU,1676655342
380,clyde river,70.4692,-68.5914,239.28,68,75,1.03,CA,1676655342
381,huescar,37.811,-2.5412,282.18,66,88,3.44,ES,1676655342
382,jiuquan,39.7432,98.5174,266.64,90,97,1.45,CN,1676655343
383,kemijarvi,66.7131,27.4306,272.47,86,100,3.59,FI,1676655243
384,sompeta,18.9333,84.6,295.66,80,1,2.8,IN,1676655343
385,buta,2.7858,24.73,299.72,29,72,1.41,CD,1676655344
386,inhambane,-23.865,35.3833,301.14,78,20,4.63,MZ,1676655344
387,fort saint james,54.4333,-124.25,267.55,88,95,1.04,CA,1676655345
388,quzhou,28.9594,118.8686,283.52,81,32,0.93,CN,1676655345
389,tiarei,-17.5333,-149.3333,299.16,75,93,1.15,PF,1676655346
390,lahij,13.1667,44.5833,294.58,62,4,1.64,YE,1676655346
391,la solana,38.9442,-3.2381,288.26,54,51,8.41,ES,1676655346
392,takoradi,4.8845,-1.7554,300.68,74,23,4.43,GH,1676655347
393,alofi,-19.0595,-169.9187,295.09,100,40,0.51,NU,1676655347
394,gbadolite,4.2833,21.0167,300.69,25,19,0.8,CD,1676655348
395,balkhash,46.844,74.9804,264.44,90,82,3.81,KZ,1676655348
396,muravlenko,63.7898,74.523,264.05,84,100,5.59,RU,1676655348
397,borogontsy,62.6683,131.1683,243.63,98,98,2.65,RU,1676655349
398,mehamn,71.0357,27.8492,273.12,86,75,2.57,NO,1676655349
399,hirara,24.8,125.2833,294.24,69,18,7.71,JP,1676655350
400,izmir,38.4622,27.0923,284.12,76,0,4.12,TR,1676655158
401,jishou,28.3167,109.7167,283.66,83,83,0.64,CN,1676655350
402,rock sound,24.9,-76.2,297.89,69,12,6.67,BS,1676655351
